Unique Key,Created Date,Closed Date,Agency,Complaint Type,Descriptor,Location Type,Incident Zip,Borough,Status,Resolution Description
413,09/08/2023 12:00:00 AM,10/24/2023 12:00:00 AM,FDNY,Street Condition,Descriptor for Rodent,Street/Sidewalk,10001,STATEN ISLAND,Closed,Resolution for complaint 412
414,05/09/2023 12:00:00 AM,01/07/2023 12:00:00 AM,DOT,Traffic Signal Condition,Descriptor for Building/Use,Residential Building,11215,BRONX,In Progress,
415,01/27/2023 12:00:00 AM,09/20/2023 12:00:00 AM,NYPD,Heat/Hot Water,Descriptor for Noise - Residential,Park/Playground,10002,MANHATTAN,Pending,Resolution for complaint 414
416,02/17/2023 12:00:00 AM,03/18/2023 12:00:00 AM,HPD,Street Condition,Descriptor for Blocked Driveway,Commercial Building,10451,QUEENS,Open,Resolution for complaint 415
417,11/21/2023 12:00:00 AM,04/27/2023 12:00:00 AM,DOB,Water System,Descriptor for Illegal Parking,Residential Building,10003,QUEENS,Pending,Resolution for complaint 416
418,08/05/2023 12:00:00 AM,,HPD,Heat/Hot Water,Descriptor for Plumbing,Street/Sidewalk,10451,QUEENS,Closed,Resolution for complaint 417
419,05/22/2023 12:00:00 AM,08/31/2023 12:00:00 AM,HPD,Traffic Signal Condition,Descriptor for Blocked Driveway,School,10301,QUEENS,In Progress,
420,01/23/2023 12:00:00 AM,,DOT,Plumbing,Descriptor for Rodent,Residential Building,10003,MANHATTAN,Closed,
421,01/02/2023 12:00:00 AM,10/10/2023 12:00:00 AM,DPR,Illegal Parking,Descriptor for Noise - Residential,Residential Building,11215,QUEENS,In Progress,Resolution for complaint 420
422,06/20/2023 12:00:00 AM,08/25/2023 12:00:00 AM,NYPD,Street Light Condition,Descriptor for Building/Use,Park/Playground,10001,QUEENS,In Progress,Resolution for complaint 421
423,03/08/2023 12:00:00 AM,02/13/2023 12:00:00 AM,DOT,Sanitation Condition,Descriptor for Heat/Hot Water,Residential Building,10451,BRONX,Open,Resolution for complaint 422
424,11/23/2023 12:00:00 AM,04/07/2023 12:00:00 AM,DEP,Street Condition,Descriptor for Building/Use,Park/Playground,10003,QUEENS,Open,Resolution for complaint 423
425,05/15/2023 12:00:00 AM,12/24/2023 12:00:00 AM,NYPD,Heat/Hot Water,Descriptor for Traffic Signal Condition,Park/Playground,10301,QUEENS,Open,Resolution for complaint 424
426,03/24/2023 12:00:00 AM,08/13/2023 12:00:00 AM,DOT,Graffiti,Descriptor for Illegal Parking,Street/Sidewalk,10001,BROOKLYN,Closed,
427,08/15/2023 12:00:00 AM,10/13/2023 12:00:00 AM,DOB,Sanitation Condition,Descriptor for Rodent,Commercial Building,10002,BROOKLYN,In Progress,Resolution for complaint 426
428,10/10/2023 12:00:00 AM,,DOT,Sanitation Condition,Descriptor for Rodent,Commercial Building,11201,QUEENS,Pending,Resolution for complaint 427
429,12/28/2023 12:00:00 AM,,DOT,Graffiti,Descriptor for Building/Use,Street/Sidewalk,10003,MANHATTAN,Closed,Resolution for complaint 428
430,08/07/2023 12:00:00 AM,06/06/2023 12:00:00 AM,DEP,Graffiti,Descriptor for Sanitation Condition,Street/Sidewalk,10002,BROOKLYN,Closed,Resolution for complaint 429
431,10/15/2023 12:00:00 AM,01/05/2023 12:00:00 AM,NYPD,Heat/Hot Water,Descriptor for Sanitation Condition,Commercial Building,11372,BRONX,Open,Resolution for complaint 430
432,01/05/2023 12:00:00 AM,12/04/2023 12:00:00 AM,FDNY,Noise - Residential,Descriptor for Graffiti,Park/Playground,10451,STATEN ISLAND,Pending,Resolution for complaint 431
433,02/27/2023 12:00:00 AM,06/23/2023 12:00:00 AM,DPR,Traffic Signal Condition,Descriptor for Traffic Signal Condition,Residential Building,10451,MANHATTAN,In Progress,
434,02/08/2023 12:00:00 AM,,FDNY,Plumbing,Descriptor for Street Light Condition,Street/Sidewalk,10301,BRONX,Pending,Resolution for complaint 433
435,12/20/2023 12:00:00 AM,07/26/2023 12:00:00 AM,DSNY,Paint/Plaster,Descriptor for Building/Use,Park/Playground,10001,MANHATTAN,In Progress,
436,03/18/2023 12:00:00 AM,12/20/2023 12:00:00 AM,DOT,Water System,Descriptor for Street Condition,Street/Sidewalk,10002,BROOKLYN,In Progress,Resolution for complaint 435
437,10/07/2023 12:00:00 AM,06/16/2023 12:00:00 AM,HPD,Street Condition,Descriptor for Illegal Parking,Street/Sidewalk,10002,QUEENS,Closed,Resolution for complaint 436
438,01/19/2023 12:00:00 AM,10/18/2023 12:00:00 AM,DPR,Heat/Hot Water,Descriptor for Heat/Hot Water,Commercial Building,10301,STATEN ISLAND,Closed,Resolution for complaint 437
439,07/09/2023 12:00:00 AM,03/13/2023 12:00:00 AM,DOT,Street Light Condition,Descriptor for Heat/Hot Water,Park/Playground,10002,STATEN ISLAND,Open,Resolution for complaint 438
440,10/26/2023 12:00:00 AM,,DPR,Illegal Parking,Descriptor for Street Condition,Commercial Building,10301,MANHATTAN,Open,Resolution for complaint 439
441,10/10/2023 12:00:00 AM,06/19/2023 12:00:00 AM,DOT,Building/Use,Descriptor for Water System,Residential Building,10002,QUEENS,Closed,Resolution for complaint 440
442,03/17/2023 12:00:00 AM,11/05/2023 12:00:00 AM,HPD,Air Quality,Descriptor for Air Quality,Park/Playground,10001,MANHATTAN,Open,
443,08/09/2023 12:00:00 AM,10/21/2023 12:00:00 AM,FDNY,Graffiti,Descriptor for Graffiti,Street/Sidewalk,11215,MANHATTAN,Open,Resolution for complaint 442
444,03/07/2023 12:00:00 AM,07/15/2023 12:00:00 AM,DOB,Plumbing,Descriptor for Street Light Condition,School,11372,BRONX,Pending,Resolution for complaint 443
445,01/22/2023 12:00:00 AM,,FDNY,Illegal Parking,Descriptor for Graffiti,School,10003,MANHATTAN,Closed,Resolution for complaint 444
446,06/07/2023 12:00:00 AM,10/01/2023 12:00:00 AM,DEP,Plumbing,Descriptor for Illegal Parking,Park/Playground,10001,BRONX,Closed,
447,07/06/2023 12:00:00 AM,09/01/2023 12:00:00 AM,DSNY,Air Quality,Descriptor for Traffic Signal Condition,Residential Building,10301,STATEN ISLAND,In Progress,Resolution for complaint 446
448,01/21/2023 12:00:00 AM,,DOB,Street Condition,Descriptor for Paint/Plaster,Street/Sidewalk,10002,BRONX,Open,Resolution for complaint 447
449,07/03/2023 12:00:00 AM,08/20/2023 12:00:00 AM,DPR,Sanitation Condition,Descriptor for Rodent,Commercial Building,10001,STATEN ISLAND,Open,Resolution for complaint 448
450,04/18/2023 12:00:00 AM,06/05/2023 12:00:00 AM,HPD,Traffic Signal Condition,Descriptor for Graffiti,Street/Sidewalk,10003,STATEN ISLAND,Closed,Resolution for complaint 449
451,12/16/2023 12:00:00 AM,,FDNY,Noise - Residential,Descriptor for Heat/Hot Water,Residential Building,10003,BRONX,Pending,Resolution for complaint 450
452,05/08/2023 12:00:00 AM,,HPD,Building/Use,Descriptor for Street Condition,Commercial Building,10002,BRONX,Pending,Resolution for complaint 451
453,12/08/2023 12:00:00 AM,01/17/2023 12:00:00 AM,DSNY,Street Condition,Descriptor for Paint/Plaster,Residential Building,11201,QUEENS,Pending,Resolution for complaint 452
454,02/22/2023 12:00:00 AM,11/05/2023 12:00:00 AM,FDNY,Sanitation Condition,Descriptor for Illegal Parking,Commercial Building,10002,BROOKLYN,Open,Resolution for complaint 453
455,07/01/2023 12:00:00 AM,04/06/2023 12:00:00 AM,NYPD,Noise - Residential,Descriptor for Water System,Street/Sidewalk,10451,BRONX,Closed,
456,10/14/2023 12:00:00 AM,,NYPD,Water System,Descriptor for Air Quality,Commercial Building,10001,MANHATTAN,Open,Resolution for complaint 455
457,07/28/2023 12:00:00 AM,07/17/2023 12:00:00 AM,DOT,Heat/Hot Water,Descriptor for Heat/Hot Water,Residential Building,11372,MANHATTAN,Pending,Resolution for complaint 456
458,11/14/2023 12:00:00 AM,,DOB,Paint/Plaster,Descriptor for Building/Use,Park/Playground,10001,QUEENS,In Progress,Resolution for complaint 457
459,03/21/2023 12:00:00 AM,,DEP,Illegal Parking,Descriptor for Street Condition,Street/Sidewalk,11201,QUEENS,In Progress,
460,05/02/2023 12:00:00 AM,02/05/2023 12:00:00 AM,DSNY,Paint/Plaster,Descriptor for Traffic Signal Condition,Street/Sidewalk,11215,QUEENS,Pending,Resolution for complaint 459
461,03/25/2023 12:00:00 AM,07/08/2023 12:00:00 AM,NYPD,Graffiti,Descriptor for Air Quality,Park/Playground,10451,QUEENS,Closed,Resolution for complaint 460
462,04/01/2023 12:00:00 AM,03/29/2023 12:00:00 AM,HPD,Graffiti,Descriptor for Heat/Hot Water,School,10002,BRONX,Closed,Resolution for complaint 461
463,07/31/2023 12:00:00 AM,07/30/2023 12:00:00 AM,FDNY,Graffiti,Descriptor for Noise - Residential,Commercial Building,10002,STATEN ISLAND,Pending,Resolution for complaint 462
464,01/13/2023 12:00:00 AM,02/26/2023 12:00:00 AM,HPD,Blocked Driveway,Descriptor for Street Light Condition,Residential Building,10301,QUEENS,Closed,
465,04/02/2023 12:00:00 AM,,HPD,Blocked Driveway,Descriptor for Plumbing,Commercial Building,11201,BROOKLYN,Pending,
466,06/20/2023 12:00:00 AM,02/05/2023 12:00:00 AM,DSNY,Illegal Parking,Descriptor for Air Quality,Commercial Building,11215,BRONX,Open,Resolution for complaint 465
467,07/30/2023 12:00:00 AM,04/16/2023 12:00:00 AM,NYPD,Water System,Descriptor for Plumbing,School,10002,QUEENS,In Progress,Resolution for complaint 466
468,12/09/2023 12:00:00 AM,,HPD,Blocked Driveway,Descriptor for Noise - Residential,Commercial Building,10301,BROOKLYN,Closed,Resolution for complaint 467
469,05/08/2023 12:00:00 AM,,DSNY,Plumbing,Descriptor for Rodent,Street/Sidewalk,11215,BRONX,Pending,Resolution for complaint 468
470,05/17/2023 12:00:00 AM,12/30/2023 12:00:00 AM,FDNY,Building/Use,Descriptor for Plumbing,Park/Playground,10002,BROOKLYN,Closed,
471,03/23/2023 12:00:00 AM,03/23/2023 12:00:00 AM,DOB,Sanitation Condition,Descriptor for Building/Use,Residential Building,11215,BRONX,Closed,Resolution for complaint 470
472,12/26/2023 12:00:00 AM,06/08/2023 12:00:00 AM,DOB,Paint/Plaster,Descriptor for Blocked Driveway,Street/Sidewalk,10451,BROOKLYN,Pending,Resolution for complaint 471
473,02/25/2023 12:00:00 AM,09/15/2023 12:00:00 AM,HPD,Building/Use,Descriptor for Illegal Parking,Street/Sidewalk,11372,BROOKLYN,In Progress,Resolution for complaint 472
474,07/15/2023 12:00:00 AM,08/23/2023 12:00:00 AM,DOB,Rodent,Descriptor for Sanitation Condition,Commercial Building,11372,BRONX,Open,Resolution for complaint 473
475,01/20/2023 12:00:00 AM,,DSNY,Air Quality,Descriptor for Plumbing,Commercial Building,11215,STATEN ISLAND,In Progress,Resolution for complaint 474
476,08/29/2023 12:00:00 AM,,DSNY,Air Quality,Descriptor for Street Condition,Park/Playground,11372,QUEENS,Closed,Resolution for complaint 475
477,04/24/2023 12:00:00 AM,,DEP,Paint/Plaster,Descriptor for Noise - Residential,Street/Sidewalk,10002,BROOKLYN,In Progress,Resolution for complaint 476
478,04/13/2023 12:00:00 AM,,DOT,Building/Use,Descriptor for Water System,Street/Sidewalk,10003,BRONX,Open,
479,08/24/2023 12:00:00 AM,05/07/2023 12:00:00 AM,DOT,Noise - Residential,Descriptor for Plumbing,Commercial Building,11201,BROOKLYN,Pending,Resolution for complaint 478
480,06/29/2023 12:00:00 AM,10/19/2023 12:00:00 AM,DEP,Sanitation Condition,Descriptor for Noise - Residential,Residential Building,11201,QUEENS,Closed,Resolution for complaint 479
481,06/06/2023 12:00:00 AM,08/24/2023 12:00:00 AM,DSNY,Illegal Parking,Descriptor for Blocked Driveway,Commercial Building,11372,QUEENS,Pending,Resolution for complaint 480
482,04/27/2023 12:00:00 AM,01/21/2023 12:00:00 AM,HPD,Graffiti,Descriptor for Plumbing,Commercial Building,11372,QUEENS,Closed,
483,04/25/2023 12:00:00 AM,05/28/2023 12:00:00 AM,FDNY,Building/Use,Descriptor for Graffiti,Street/Sidewalk,10002,STATEN ISLAND,Open,Resolution for complaint 482
484,01/13/2023 12:00:00 AM,08/22/2023 12:00:00 AM,FDNY,Street Light Condition,Descriptor for Street Light Condition,Residential Building,10451,BRONX,Closed,Resolution for complaint 483
485,12/04/2023 12:00:00 AM,12/31/2023 12:00:00 AM,DPR,Blocked Driveway,Descriptor for Blocked Driveway,Park/Playground,11215,MANHATTAN,Closed,
486,04/09/2023 12:00:00 AM,07/20/2023 12:00:00 AM,HPD,Illegal Parking,Descriptor for Air Quality,Residential Building,10002,BROOKLYN,Pending,
487,07/24/2023 12:00:00 AM,03/31/2023 12:00:00 AM,DOT,Street Light Condition,Descriptor for Blocked Driveway,Residential Building,11372,BROOKLYN,In Progress,Resolution for complaint 486
488,06/18/2023 12:00:00 AM,04/02/2023 12:00:00 AM,DOB,Building/Use,Descriptor for Water System,Street/Sidewalk,10451,BRONX,Open,Resolution for complaint 487
489,05/23/2023 12:00:00 AM,08/10/2023 12:00:00 AM,DOT,Rodent,Descriptor for Building/Use,School,10451,STATEN ISLAND,Open,Resolution for complaint 488
490,02/05/2023 12:00:00 AM,12/04/2023 12:00:00 AM,DEP,Heat/Hot Water,Descriptor for Paint/Plaster,Residential Building,11201,QUEENS,Pending,Resolution for complaint 489
491,05/23/2023 12:00:00 AM,,DOB,Blocked Driveway,Descriptor for Rodent,Residential Building,10001,MANHATTAN,Open,Resolution for complaint 490
492,06/29/2023 12:00:00 AM,07/21/2023 12:00:00 AM,DSNY,Rodent,Descriptor for Street Light Condition,Commercial Building,11201,QUEENS,Open,Resolution for complaint 491
493,11/25/2023 12:00:00 AM,01/23/2023 12:00:00 AM,HPD,Heat/Hot Water,Descriptor for Traffic Signal Condition,Commercial Building,10451,BROOKLYN,In Progress,
494,09/18/2023 12:00:00 AM,,DOT,Paint/Plaster,Descriptor for Blocked Driveway,School,11201,BRONX,Closed,Resolution for complaint 493
495,07/24/2023 12:00:00 AM,05/21/2023 12:00:00 AM,FDNY,Heat/Hot Water,Descriptor for Blocked Driveway,School,11201,STATEN ISLAND,Open,Resolution for complaint 494
496,12/14/2023 12:00:00 AM,10/03/2023 12:00:00 AM,FDNY,Graffiti,Descriptor for Graffiti,Street/Sidewalk,10451,BROOKLYN,Open,Resolution for complaint 495
497,10/02/2023 12:00:00 AM,,NYPD,Air Quality,Descriptor for Graffiti,Park/Playground,11215,MANHATTAN,Open,Resolution for complaint 496
498,06/19/2023 12:00:00 AM,12/24/2023 12:00:00 AM,NYPD,Building/Use,Descriptor for Street Condition,Commercial Building,10451,MANHATTAN,Closed,Resolution for complaint 497
499,01/15/2023 12:00:00 AM,04/22/2023 12:00:00 AM,DSNY,Rodent,Descriptor for Heat/Hot Water,Street/Sidewalk,11372,STATEN ISLAND,In Progress,Resolution for complaint 498
500,03/01/2023 12:00:00 AM,07/30/2023 12:00:00 AM,DSNY,Building/Use,Descriptor for Street Light Condition,Street/Sidewalk,10001,MANHATTAN,In Progress,Resolution for complaint 499
501,05/14/2023 12:00:00 AM,10/11/2023 12:00:00 AM,DSNY,Traffic Signal Condition,Descriptor for Air Quality,Commercial Building,10001,BROOKLYN,Closed,Resolution for complaint 500
502,04/02/2023 12:00:00 AM,,DSNY,Street Light Condition,Descriptor for Rodent,Residential Building,10301,QUEENS,In Progress,Resolution for complaint 501
503,10/25/2023 12:00:00 AM,02/23/2023 12:00:00 AM,DEP,Sanitation Condition,Descriptor for Sanitation Condition,School,11215,STATEN ISLAND,Open,Resolution for complaint 502
504,05/16/2023 12:00:00 AM,06/16/2023 12:00:00 AM,HPD,Traffic Signal Condition,Descriptor for Blocked Driveway,Park/Playground,11215,QUEENS,In Progress,Resolution for complaint 503
505,01/20/2023 12:00:00 AM,03/26/2023 12:00:00 AM,HPD,Air Quality,Descriptor for Building/Use,Residential Building,11201,BROOKLYN,Closed,Resolution for complaint 504
506,02/25/2023 12:00:00 AM,,DOB,Illegal Parking,Descriptor for Graffiti,Commercial Building,11372,QUEENS,In Progress,Resolution for complaint 505
507,11/02/2023 12:00:00 AM,08/25/2023 12:00:00 AM,NYPD,Street Condition,Descriptor for Plumbing,Park/Playground,10003,MANHATTAN,Pending,Resolution for complaint 506
508,08/11/2023 12:00:00 AM,,DSNY,Building/Use,Descriptor for Street Light Condition,School,11372,BROOKLYN,Pending,Resolution for complaint 507
509,06/26/2023 12:00:00 AM,12/12/2023 12:00:00 AM,DSNY,Water System,Descriptor for Heat/Hot Water,Street/Sidewalk,10001,STATEN ISLAND,Closed,Resolution for complaint 508
510,06/10/2023 12:00:00 AM,07/15/2023 12:00:00 AM,DSNY,Street Light Condition,Descriptor for Air Quality,Street/Sidewalk,10002,BRONX,Pending,
511,08/12/2023 12:00:00 AM,07/24/2023 12:00:00 AM,HPD,Paint/Plaster,Descriptor for Air Quality,Commercial Building,10002,MANHATTAN,Pending,
512,11/07/2023 12:00:00 AM,07/23/2023 12:00:00 AM,DOB,Sanitation Condition,Descriptor for Illegal Parking,Commercial Building,10451,STATEN ISLAND,Open,Resolution for complaint 511
513,09/19/2023 12:00:00 AM,,FDNY,Street Light Condition,Descriptor for Street Condition,Commercial Building,11372,STATEN ISLAND,Open,Resolution for complaint 512
514,03/01/2023 12:00:00 AM,,DSNY,Building/Use,Descriptor for Noise - Residential,Park/Playground,11201,QUEENS,Open,Resolution for complaint 513
515,07/17/2023 12:00:00 AM,03/11/2023 12:00:00 AM,HPD,Sanitation Condition,Descriptor for Plumbing,Street/Sidewalk,10451,BROOKLYN,Pending,Resolution for complaint 514
516,10/23/2023 12:00:00 AM,08/26/2023 12:00:00 AM,DOT,Street Condition,Descriptor for Blocked Driveway,School,11215,STATEN ISLAND,Open,Resolution for complaint 515
517,04/08/2023 12:00:00 AM,02/04/2023 12:00:00 AM,HPD,Graffiti,Descriptor for Heat/Hot Water,Commercial Building,10301,STATEN ISLAND,Closed,
518,05/11/2023 12:00:00 AM,,DOT,Blocked Driveway,Descriptor for Noise - Residential,School,10001,BRONX,Pending,Resolution for complaint 517
519,01/23/2023 12:00:00 AM,01/01/2024 12:00:00 AM,DOT,Building/Use,Descriptor for Rodent,School,10451,MANHATTAN,In Progress,Resolution for complaint 518
520,12/29/2023 12:00:00 AM,03/13/2023 12:00:00 AM,NYPD,Heat/Hot Water,Descriptor for Water System,Residential Building,10451,BRONX,Closed,
521,08/12/2023 12:00:00 AM,05/23/2023 12:00:00 AM,DEP,Heat/Hot Water,Descriptor for Noise - Residential,School,10451,QUEENS,Open,Resolution for complaint 520
522,01/01/2023 12:00:00 AM,03/29/2023 12:00:00 AM,DEP,Graffiti,Descriptor for Heat/Hot Water,Street/Sidewalk,10301,MANHATTAN,Open,Resolution for complaint 521
523,09/24/2023 12:00:00 AM,11/07/2023 12:00:00 AM,NYPD,Blocked Driveway,Descriptor for Street Condition,School,10301,MANHATTAN,Open,
524,10/03/2023 12:00:00 AM,,NYPD,Paint/Plaster,Descriptor for Building/Use,Commercial Building,10002,BROOKLYN,Pending,Resolution for complaint 523
525,12/18/2023 12:00:00 AM,,DOT,Sanitation Condition,Descriptor for Paint/Plaster,Street/Sidewalk,11201,BRONX,In Progress,Resolution for complaint 524
526,12/10/2023 12:00:00 AM,07/20/2023 12:00:00 AM,NYPD,Street Condition,Descriptor for Building/Use,School,11215,QUEENS,Pending,Resolution for complaint 525
527,04/11/2023 12:00:00 AM,,NYPD,Traffic Signal Condition,Descriptor for Traffic Signal Condition,School,10002,STATEN ISLAND,In Progress,Resolution for complaint 526
528,07/06/2023 12:00:00 AM,01/06/2023 12:00:00 AM,DSNY,Plumbing,Descriptor for Graffiti,Park/Playground,11215,STATEN ISLAND,In Progress,Resolution for complaint 527
529,08/09/2023 12:00:00 AM,03/20/2023 12:00:00 AM,DOB,Illegal Parking,Descriptor for Traffic Signal Condition,Commercial Building,11372,BRONX,Open,
530,02/05/2023 12:00:00 AM,04/02/2023 12:00:00 AM,DSNY,Air Quality,Descriptor for Paint/Plaster,School,10003,BRONX,In Progress,Resolution for complaint 529
531,12/07/2023 12:00:00 AM,,FDNY,Building/Use,Descriptor for Graffiti,Park/Playground,11215,STATEN ISLAND,Closed,Resolution for complaint 530
532,06/19/2023 12:00:00 AM,,DOT,Paint/Plaster,Descriptor for Street Light Condition,School,11215,BROOKLYN,Pending,Resolution for complaint 531
533,11/16/2023 12:00:00 AM,04/21/2023 12:00:00 AM,NYPD,Graffiti,Descriptor for Noise - Residential,School,10451,BRONX,Pending,Resolution for complaint 532
534,06/10/2023 12:00:00 AM,01/25/2023 12:00:00 AM,DSNY,Building/Use,Descriptor for Plumbing,Residential Building,11215,BROOKLYN,Closed,Resolution for complaint 533
535,12/06/2023 12:00:00 AM,09/25/2023 12:00:00 AM,NYPD,Illegal Parking,Descriptor for Blocked Driveway,Residential Building,10002,BRONX,Open,
536,03/05/2023 12:00:00 AM,12/04/2023 12:00:00 AM,DEP,Heat/Hot Water,Descriptor for Sanitation Condition,Commercial Building,11372,BRONX,In Progress,Resolution for complaint 535
537,06/03/2023 12:00:00 AM,07/19/2023 12:00:00 AM,DOB,Heat/Hot Water,Descriptor for Traffic Signal Condition,Commercial Building,11201,STATEN ISLAND,Closed,Resolution for complaint 536
538,09/17/2023 12:00:00 AM,08/16/2023 12:00:00 AM,FDNY,Water System,Descriptor for Graffiti,Park/Playground,11372,BROOKLYN,Open,Resolution for complaint 537
539,06/08/2023 12:00:00 AM,,DEP,Traffic Signal Condition,Descriptor for Rodent,Street/Sidewalk,10001,QUEENS,Pending,
540,12/08/2023 12:00:00 AM,,DOB,Building/Use,Descriptor for Heat/Hot Water,Street/Sidewalk,10001,BRONX,In Progress,Resolution for complaint 539
541,07/29/2023 12:00:00 AM,04/14/2023 12:00:00 AM,DSNY,Illegal Parking,Descriptor for Noise - Residential,School,11215,MANHATTAN,In Progress,
542,06/17/2023 12:00:00 AM,07/11/2023 12:00:00 AM,NYPD,Illegal Parking,Descriptor for Traffic Signal Condition,Residential Building,11201,MANHATTAN,Closed,Resolution for complaint 541
543,07/26/2023 12:00:00 AM,04/13/2023 12:00:00 AM,DEP,Heat/Hot Water,Descriptor for Traffic Signal Condition,Park/Playground,11372,QUEENS,In Progress,Resolution for complaint 542
544,12/23/2023 12:00:00 AM,,DSNY,Graffiti,Descriptor for Paint/Plaster,School,10002,STATEN ISLAND,Pending,Resolution for complaint 543
545,06/01/2023 12:00:00 AM,01/08/2023 12:00:00 AM,FDNY,Noise - Residential,Descriptor for Street Light Condition,Street/Sidewalk,11215,STATEN ISLAND,Closed,Resolution for complaint 544
546,10/11/2023 12:00:00 AM,04/09/2023 12:00:00 AM,DEP,Rodent,Descriptor for Street Condition,Park/Playground,10001,BROOKLYN,In Progress,
547,03/07/2023 12:00:00 AM,02/02/2023 12:00:00 AM,DEP,Rodent,Descriptor for Blocked Driveway,Park/Playground,10451,MANHATTAN,In Progress,Resolution for complaint 546
548,04/09/2023 12:00:00 AM,,DPR,Plumbing,Descriptor for Building/Use,Residential Building,11201,STATEN ISLAND,In Progress,Resolution for complaint 547
549,08/04/2023 12:00:00 AM,12/07/2023 12:00:00 AM,FDNY,Blocked Driveway,Descriptor for Plumbing,School,10003,MANHATTAN,Open,Resolution for complaint 548
550,12/07/2023 12:00:00 AM,,HPD,Illegal Parking,Descriptor for Rodent,Commercial Building,11215,QUEENS,Open,Resolution for complaint 549
551,07/14/2023 12:00:00 AM,,DSNY,Noise - Residential,Descriptor for Plumbing,Residential Building,10451,QUEENS,In Progress,Resolution for complaint 550
552,12/13/2023 12:00:00 AM,02/25/2023 12:00:00 AM,DEP,Building/Use,Descriptor for Plumbing,Commercial Building,11372,BRONX,Open,Resolution for complaint 551
553,03/31/2023 12:00:00 AM,06/15/2023 12:00:00 AM,FDNY,Plumbing,Descriptor for Graffiti,Commercial Building,10002,STATEN ISLAND,Pending,Resolution for complaint 552
554,11/12/2023 12:00:00 AM,04/08/2023 12:00:00 AM,FDNY,Sanitation Condition,Descriptor for Street Condition,Park/Playground,11201,QUEENS,Pending,
555,10/19/2023 12:00:00 AM,10/05/2023 12:00:00 AM,NYPD,Air Quality,Descriptor for Noise - Residential,Commercial Building,10003,MANHATTAN,In Progress,Resolution for complaint 554
556,06/04/2023 12:00:00 AM,08/08/2023 12:00:00 AM,DEP,Street Condition,Descriptor for Rodent,Residential Building,10301,QUEENS,Open,Resolution for complaint 555
557,07/27/2023 12:00:00 AM,,DSNY,Air Quality,Descriptor for Illegal Parking,Residential Building,10002,MANHATTAN,Closed,Resolution for complaint 556
558,10/08/2023 12:00:00 AM,,HPD,Traffic Signal Condition,Descriptor for Plumbing,Park/Playground,10001,QUEENS,Open,Resolution for complaint 557
559,01/01/2023 12:00:00 AM,03/30/2023 12:00:00 AM,DOB,Graffiti,Descriptor for Rodent,Commercial Building,10001,MANHATTAN,Closed,Resolution for complaint 558
560,06/05/2023 12:00:00 AM,,NYPD,Water System,Descriptor for Heat/Hot Water,Residential Building,11215,QUEENS,Open,Resolution for complaint 559
561,05/27/2023 12:00:00 AM,01/07/2023 12:00:00 AM,FDNY,Street Light Condition,Descriptor for Air Quality,Commercial Building,10002,STATEN ISLAND,Pending,
562,04/18/2023 12:00:00 AM,08/23/2023 12:00:00 AM,DPR,Building/Use,Descriptor for Plumbing,Park/Playground,10003,QUEENS,Open,Resolution for complaint 561
563,08/09/2023 12:00:00 AM,,DPR,Noise - Residential,Descriptor for Rodent,Park/Playground,10451,STATEN ISLAND,Closed,Resolution for complaint 562
564,10/24/2023 12:00:00 AM,05/23/2023 12:00:00 AM,NYPD,Noise - Residential,Descriptor for Graffiti,Commercial Building,11215,MANHATTAN,Closed,
565,11/07/2023 12:00:00 AM,07/08/2023 12:00:00 AM,DEP,Illegal Parking,Descriptor for Air Quality,Commercial Building,11201,BRONX,Pending,Resolution for complaint 564
566,12/02/2023 12:00:00 AM,,DOB,Building/Use,Descriptor for Street Light Condition,School,11215,MANHATTAN,Closed,Resolution for complaint 565
567,06/14/2023 12:00:00 AM,07/30/2023 12:00:00 AM,DSNY,Graffiti,Descriptor for Graffiti,School,10301,BROOKLYN,Closed,
568,08/27/2023 12:00:00 AM,11/03/2023 12:00:00 AM,DPR,Rodent,Descriptor for Blocked Driveway,School,10001,QUEENS,Pending,Resolution for complaint 567
569,08/15/2023 12:00:00 AM,02/22/2023 12:00:00 AM,NYPD,Heat/Hot Water,Descriptor for Heat/Hot Water,Residential Building,10002,BRONX,In Progress,
570,08/15/2023 12:00:00 AM,10/19/2023 12:00:00 AM,DOB,Rodent,Descriptor for Water System,Park/Playground,10003,BROOKLYN,Closed,Resolution for complaint 569
571,12/12/2023 12:00:00 AM,,FDNY,Air Quality,Descriptor for Noise - Residential,Commercial Building,10001,BRONX,Open,Resolution for complaint 570
572,04/20/2023 12:00:00 AM,11/04/2023 12:00:00 AM,DOT,Noise - Residential,Descriptor for Paint/Plaster,School,11372,MANHATTAN,Open,Resolution for complaint 571
573,09/19/2023 12:00:00 AM,11/20/2023 12:00:00 AM,DOB,Illegal Parking,Descriptor for Illegal Parking,Park/Playground,10001,BRONX,Open,Resolution for complaint 572
574,08/31/2023 12:00:00 AM,12/14/2023 12:00:00 AM,DSNY,Sanitation Condition,Descriptor for Paint/Plaster,School,10002,MANHATTAN,Closed,
575,03/28/2023 12:00:00 AM,12/22/2023 12:00:00 AM,FDNY,Plumbing,Descriptor for Illegal Parking,Park/Playground,10451,MANHATTAN,Open,Resolution for complaint 574
576,12/04/2023 12:00:00 AM,,FDNY,Water System,Descriptor for Noise - Residential,Street/Sidewalk,11201,QUEENS,In Progress,Resolution for complaint 575
577,02/13/2023 12:00:00 AM,,DOB,Rodent,Descriptor for Rodent,Street/Sidewalk,11201,MANHATTAN,Open,
